
============================
 Flower Shop Server Started
============================
[2023-05-31T13:26:43.571516] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:26:43.572514900] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:26:43.572514900] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:26:43.585516900] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:26:43.586516300] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:26:43.587517400] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:26:48.401512] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:26:48.401512] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:26:48.401512] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:26:48.401512] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:26:48.402512900] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:26:48.402512900] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:26:48.468513300] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:26:48.469514300] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:26:48.469514300] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:26:48.501514900] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:26:48.502513700] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:26:48.503516500] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:26:48.514515400] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:26:48.514515400] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:26:48.515514800] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:26:48.718514200] Class: PSK.FlowerShop.controller.ProductController, Method: getProducts
[2023-05-31T13:26:48.719516100] Class: PSK.FlowerShop.service.ProductService, Method: getAllProducts
[2023-05-31T13:26:48.719516100] Class: PSK.FlowerShop.repository.ProductRepository, Method: findByIsDeletedFalse
[2023-05-31T13:26:55.033417800] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:26:55.033417800] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:26:55.034418700] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:26:55.044422] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:26:55.045421] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:26:55.046421600] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:27:49.279466800] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:27:49.280468500] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:27:49.280468500] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:28:02.605585400] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:28:02.606582500] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:28:02.606582500] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:28:21.276271700] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:28:21.277279600] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:28:21.277279600] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:28:30.409491300] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:28:30.409491300] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:28:30.410488700] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:29:02.340279900] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:29:02.341281700] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:29:02.342278100] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:29:35.781408400] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:29:35.781408400] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:29:35.782403400] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:29:52.959823600] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:29:52.959823600] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:29:52.960824200] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:29:52.961824] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:29:52.962825400] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:29:52.963825300] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:29:59.174439600] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:29:59.175424200] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:29:59.176467100] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:29:59.411488200] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:29:59.411488200] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:29:59.412486600] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:30:00.316490600] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:30:00.316490600] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
[2023-05-31T13:30:00.317486900] Class: org.springframework.data.repository.CrudRepository, Method: findById
[2023-05-31T13:30:01.731260600] Class: PSK.FlowerShop.controller.ProductController, Method: getProductById
[2023-05-31T13:30:01.737264700] Class: PSK.FlowerShop.service.ProductService, Method: getProductById
